teks_tweet,lokasi,created_at,username,lang
Program makan bergizi gratis (MBG) makanan apa saja yang ena... https://t.co/tDYxdYrWrd https://t.co/tqpZALhl4K,,2026-05-16T08:27:27.000Z,se_dollar,in
"Pedagang tahu goreng yang ditabrak mobil operasional Satuan Pelayanan Pemenuhan Gizi (SPPG) program Makan Bergizi Gratis (MBG) di depan sebuah minimarket Jalan Kalimantan Raya, Perumnas III, Kelurahan Aren Jaya, Kecamatan Bekasi Timur, meninggal dunia.

S (41), pedagang tahu https://t.co/EmLrIJeZcn",,2026-05-12T11:14:00.000Z,rimapurwasih,in
"PAM = Perusahaan Air Minum... airnya gak bisa diminum 
MBG = Makan Bergizi Gratis... gak bergizi dan gak gratis 
IKN = Ibu Kota Negara... statusnya bukan ibukota negara
Negara apaan si ini???

cc:threadxhmdxlys",,2026-05-15T14:57:15.000Z,KapudS640,in
"Presiden RI Prabowo Subianto juga akui:

 Makan Bergizi Gratis (MBG) banyak masalah ""iya"" banyak tantangan ""bener""

 .... manusia Indonesia kita mengertilah, penyakit kita harus berani hadapi, harus berani bicarkan.

Banyak diamtara unsur-unsur pimpinan kita hatinya tidak kuat, https://t.co/DVXM4E2IUE",,2026-05-16T09:42:19.000Z,sharpandshark,in
"Sidokkes Polres Kolaka melaksanakan pemeriksaan dan pengawasan keamanan makanan dalam program Makan Bergizi Gratis (MBG) di SPPG Polres Kolaka, Sabtu (9/5).  #PenuhiGiziBangsa https://t.co/92AP1WjVBH",,2026-05-16T04:58:55.000Z,bidhumas_jatim,in
"Di #DeepTalkWithGenZ ini saya ditanyai anak2 muda kritis ini, apakah program pak @Prabowo ttg makan bergizi gratis, sekolah rakyat dll ini sosialistis atau masih dlm kapitalisme, tentang klas menengah, perubahan atau keberlanjutan dll https://t.co/r88Vsn1yQL https://t.co/Nq7PDFF8lZ",,2026-05-12T05:41:58.000Z,budimandjatmiko,in
"Kepala Badan Gizi Nasional (BGN), Dadan Hindayana, menegaskan Program Makan Bergizi Gratis (MBG) tetap mengutamakan penggunaan telur dan bahan pangan hasil produksi lokal. 

Dadan menginstruksikan kepada seluruh Satuan Pelayanan Pemenuhan Gizi (SPPG) atau dapur MBG agar https://t.co/A38YRSqrTS",,2026-05-16T04:02:23.000Z,VIVAcoid,in
"SPPG Polri hadir sebagai langkah nyata dalam mendukung program Makan Bergizi Gratis sekaligus memperkuat kualitas hidup masyarakat. Hingga saat ini, program ini telah menjangkau lebih dari 1,5 juta penerima manfaat dan membuka ribuan lapangan kerja di berbagai daerah. Ke depan, https://t.co/qmvNNU5hbF",,2026-05-05T04:09:38.000Z,DivHumas_Polri,in
"Mobil MBG Tabrak Pedagang di Depan Alfamart Aren Jaya, Bekasi Timur
 
Bekasi - Sebuah insiden Kecelakaan tunggal kembali terjadi, kali ini melibatkan kendaraan operasional program Makan Bergizi Gratis (MBG). Menurut informasi Mobil tersebut menabrak pedagang yang berada di depan https://t.co/szjOvOnVPI",,2026-05-12T10:36:43.000Z,neVerAl0nely___,in
"Anggapan yang mengaitkan kenaikan utang negara dengan program Makan Bergizi Gratis (MBG) dinilai merupakan cara berpikir fiskal yang terlalu dangkal dan tidak memahami mekanisme pengelolaan Anggaran Pendapatan dan Belanja Negara (APBN) modern.

Pakar sekaligus Analis Senior https://t.co/MgLk8uTSuX",,2026-05-13T07:30:00.000Z,idx_channel,in
"Makan Bergizi Gratis hadir sebagai solusi nyata mengatasi lapar di sekolah. Dengan nutrisi yang tepat, anak-anak di Maospati kini bisa mengikuti pelajaran dengan pikiran yang lebih tenang. Sebuah langkah kecil di dalam kotak makan yang mengubah masa depan. https://t.co/Wyc38fujR3",,2026-05-15T03:35:04.000Z,letisya86,in
"Presiden Prabowo Akui Program MBG Masih Hadapi Banyak Tantangan

Presiden Prabowo Subianto mengakui 
program Makan Bergizi Gratis masih menghadapi berbagai kendala dan tantangan Pemerintah menegaskan akan menindak tegas pihak yang menyalahgunakan kewenangan dalam program tersebut https://t.co/wxlhgKFRvM",,2026-05-16T10:59:53.000Z,BVD_NEWS,in
"Polres Ngawi lakukan pengawasan intensif di SPPG Ketanggi demi pastikan SOP &amp; higienitas program Makan Bergizi Gratis berjalan sempurna. Melalui prinsip zero accident di dapur, Polri jamin kualitas nutrisi aman bagi masyarakat. 🍱🇮🇩 #PenuhiGiziBangsa #MakanBergiziGratis https://t.co/LmiRV1zyKc",,2026-05-16T05:50:31.000Z,AirudbaliT,in
polri terus dukung program makan bergizi gratis demi generasi sehat dan kuat. saatnya bersama Maksimalkan Kemajuan Indonesia lewat aksi nyata. #PenuhiGiziBangsarzl https://t.co/AwYplmftrU,,2026-05-16T04:50:06.000Z,vhaniiaa_,in
"Saya sangat setuju dg pendapat Dr. Ryu Hasan, solusi mengatasi stunting bukan dg makan bergizi (gratis). Tetapi dg pemberian nutrisi yg baik sejak dalam kandungan.

Makan Bergizi Gratis tidak akan mengurangi stunting pada anak2. 
Hanya bikin anak2 kenyang saja. https://t.co/5akqvpsjac",,2026-05-03T10:51:39.000Z,Ari3Pras,in
"#SobatTernak, Kementerian Pertanian bersama Badan Pangan Nasional, Badan Gizi Nasional, koperasi, dan asosiasi peternak sepakat mendorong harga telur di tingkat peternak kembali menuju harga acuan Rp26.500/kg. Melalui Program Makan Bergizi Gratis (MBG), setiap SPPG juga https://t.co/91Wjkhh3XL",,2026-05-14T13:06:05.000Z,ditjen_pkh,in
"Presiden RI Prabowo Subianto dijadwalkan meresmikan operasional 166 Satuan Pelayanan Pemenuhan Gizi (SPPG) Polri secara serentak yang dipusatkan di Tuban, Jumat (16/5/2026). Peresmian ini menjadi bagian dari percepatan Program Makan Bergizi Gratis (MBG) https://t.co/zJeWjXVKND",,2026-05-16T05:11:40.000Z,bidhumas_jatim,in
"Program ini yaitu Makan Bergizi Gratis didukung penuh oleh  Polri bukan hanya distribusi makanan, tapi juga edukasi gizi di lapangan. Dengan langkah ini, kita bersama-sama Maksimalkan Kemajuan Indonesia. Indonesia unggul dengan makanan bergizi
#PenuhiGiziBangsa https://t.co/4kG4l3XaGy",,2026-05-16T04:47:52.000Z,Fujilestar50679,in
"Bakom mengungkap hasil survei BPS yang menunjukkan program Makan Bergizi Gratis memberikan dampak positif bagi masyarakat.

Jumlah penerima yang menghabiskan seluruh porsi meningkat, menandakan adanya perbaikan kualitas menu dan cita rasa.

Sebagian besar suplier MBG mencatatkan https://t.co/H1riISIAWT",,2026-05-14T12:40:38.000Z,tribunnews,in
Makan Bergizi Gratis https://t.co/Wj6fdDNR5O,,2026-05-16T09:35:31.000Z,CacaAngsa1,in
MAKAN BERGIZI GRATIS UNTUK GIZI ANAK LEBIH BAIK https://t.co/D0WtN6AyRG,,2026-05-14T20:45:17.000Z,JhoniMairuhu,in
"@Lullaby1237431 @Buya_Pree_ Program Makan Bergizi Gratis (MBG) bukan sekadar bantuan sosial, melainkan instrumen politik jangka panjang. Pergeseran anggaran dari sektor fundamental (Pendidikan &amp; Kesehatan) menuju program konsumtif yang memiliki daya ikat elektoral tinggi untuk tahun 2029.",,2026-05-09T09:38:06.000Z,qentrunx,in
"Sidokkes Polres Kolaka melaksanakan pemeriksaan dan pengawasan keamanan makanan dalam program Makan Bergizi Gratis (MBG) di SPPG Polres Kolaka, Sabtu (9/5).

Polri Terus Berkomitmen Maksimalkan Kemajuan Indonesia serta #PenuhiGiziBangsa Indonesia https://t.co/cGoQFaWipY",,2026-05-16T06:08:29.000Z,HumasResTernate,in
"mendukung program Makan Bergizi Gratis di lingkungan sekolah dan pesantren. Lebih dari sekadar asupan gizi, ini adalah langkah strategis untuk Maksimalkan Kemajuan Indonesia.
#PenuhiGiziBangsa https://t.co/nqRVEc8uQo",,2026-05-16T04:45:11.000Z,Sansunshine9,in
"Hah, MBG masuk kampus⁉️😱

Program Makan Bergizi Gratis atau MBG mulai mendorong perguruan tinggi untuk terlibat sebagai Satuan Pelayanan Pemenuhan Gizi (SPPG). Hal ini memicu banyak penolakan karena dianggap menggeser fokus utama kampus sebagai ruang akademik.

MBG sendiri masih https://t.co/EaLGkfmNPf",,2026-05-13T11:35:59.000Z,konde_co,in
"Ade Rezki turun langsung pastikan standar Makan Bergizi Gratis di Bukittinggi. Syaratnya cuma satu: Harus Bergizi, Bersih, dan Enak! https://t.co/tuJC22apQf",,2026-05-12T13:48:45.000Z,Arziky28067,in
Program makan bergizi gratis (MBG) makanan apa saja yang enak yach buat MBG https://t.co/X2NYGEhzIl,,2026-05-16T08:25:22.000Z,se_dollar,in
"BREAKING: 200 Siswa di Surabaya Keracunan MBG! 📉
Lokasi: Tembok Dukuh, Surabaya.
Penyebab: Diduga dari olahan daging Makan Bergizi Gratis.
Tindakan: SPPG tarik semua menu &amp; tanggung biaya pengobatan.
Status: Investigasi sampel makanan di BBLK sedang berjalan. https://t.co/IrnnddUZXe",,2026-05-11T12:16:26.000Z,165Hati,in
"Persiapan makan bergizi gratis dimulai dari pemilihan bahan baku yang segar dan berkualitas untuk memastikan setiap porsi yang dikirimkan memiliki nutrisi yang sangat maksimal 
#LanjutkanMBG

GRABFOOD X JOONGDUNK LEO We Love You LEO We Love You BORN TO BE YOXI Arafah https://t.co/U0KcqAKH7f",,2026-05-15T13:24:32.000Z,Lex_Ziger,in
Mari Kita Dukung Program Makan Bergizi Gratis (MBG) https://t.co/z4GR3yNUJa,,2026-05-14T20:48:08.000Z,JhoniMairuhu,in
"Tiap Hari kok selalu ada berita keracunan MBG 😒

SPPG resmi menarik seluruh distribusi menu Makan Bergizi Gratis (MBG) di Surabaya setelah hampir 200 siswa dr 12 sekolah dilaporkan mengalami keracunan.

Bergizi dr mana?
Banyak beracunnya 😓 https://t.co/oiU6zeoyV7",,2026-05-11T14:07:16.000Z,Jelli_cent,in
"JUST OUT

Rektor UI : Tugas Kampus, bukan mengelola dapur !!!

Rektor Universitas Indonesia, Prof. Heri Hermansyah, memberikan tanggapan tegas terhadap rencana pembangunan dapur Makan Bergizi Gratis di kampus. 

Ia menyatakan bahwa usulan tersebut perlu dikaji secara mendalam https://t.co/zVkBmYZDu7",,2026-05-05T00:19:13.000Z,direktoridosen,in
"Presiden Prabowo memberikan apresiasi kepada Kapolri Listyo Sigit atas keberhasilan program Makan Bergizi Gratis dan panen jagung nasional.

Ia menilai MBG yang dijalankan Polri berjalan dengan baik dan penuh ketertiban.

Prabowo juga menyoroti inovasi briket arang dari bonggol https://t.co/jWmU4xt8QE",,2026-05-16T10:11:11.000Z,tribunnews,in
"Kisruh SPPG 
Akar masalahnya bagi hasil 😏 

Paham kan 
MBG itu tidak murni program dr negara u/ rakyat 
Tp dlm rangka maling duit rakyat bermodus makan bergizi gratis 

Lihat saja siapa pelaku2 SPPG..
Ga jauh dr ordal &amp; sirkelannya 🥱 https://t.co/XAVmjh5Zn7",,2026-05-11T14:24:36.000Z,Jelli_cent,in
"Setiap hari jam 17 wib (Umum)
Santunan Anak Yatim tiap hari
Gratis Makan Bergizi 
Rumah Yatim Hafiz 

Open Donatur
BCA KCU Kalimalang
Norek: 230 317 1746
A/N: Trisno/Sri Utami

Instagram:
https://t.co/u12kogD014… https://t.co/WLtGk6ZDtS",,2026-05-15T11:56:43.000Z,TrisnoPasuruan,in
"Program Makan Bergizi Gratis (MBG) menutup tahun 2025 dengan langkah besar. Dari awalnya hanya 190 Satuan Pelayanan Pemenuhan Gizi (SPPG), kini tumbuh menjadi 19.188 SPPG yang hadir di berbagai daerah di Indonesia.
#KSP #MakanBergiziGratis #MBG #Capaian2025 #PemenuhanGizi https://t.co/quhifFc6bI",,2026-05-15T04:09:07.000Z,Bangsaindo_,in
"Pantesan pemimpin yg punya visi dan program bagus kalah melulu, 
tolak ukurnya masih di sembako

itung 100 juta aja penduduk indo 
yang harus di kasih sembako 
biar bisa 2 periode 
anggap sembakonya 500 rb 
berarti 100 jt x 500 rb 
total ada 50 triliun 

sementara harta prabowo https://t.co/QgpdDxUbTI",,2026-05-13T10:25:37.000Z,LambeSahamjja,in
Program Makan Bergizi Gratis bantu Tingkatkan Gizi Anak Sekolah https://t.co/lXST3Ssqk2,,2026-05-14T20:46:47.000Z,JhoniMairuhu,in
